Level,Cluster Id
7,3842
7,3739
7,3738
7,3638
7,3637
7,3635
7,3634
6,3507
6,3503
7,3502
7,3394
7,3393
7,17774
7,17773
6,17768
7,17767
7,17766
7,17650
6,17528
7,17527
7,17526
7,17419
7,17418
6,17413
7,17412
6,17316
7,31672
6,31567
6,31563
7,31432
7,31431
7,31429
7,31428
7,31352
7,31213
6,31208
7,45574
7,45573
7,45448
6,45443
7,45351
7,45348
7,45347
7,45346
7,45231
7,45230
6,45225
7,45120
7,59483
6,59478
7,59476
7,59350
6,59345
6,59339
6,59335
7,59334
7,59333
7,59258
7,59257
7,59254
7,59253
7,59142
7,59032
7,59031
7,59030
