Level,Cluster Id
7,1577
7,1576
6,1571
7,1570
7,1569
7,1483
7,1481
7,1480
7,1365
7,1364
7,1346
7,1344
7,1258
7,1257
7,1255
7,1254
7,1142
7,1138
7,1137
7,15504
7,15502
7,15394
7,15164
7,15163
6,15158
7,15147
7,15146
7,15053
7,15052
6,15047
6,15037
7,29399
7,29398
7,29389
7,29388
6,29383
6,29379
7,29378
7,29270
7,29269
7,29167
7,29166
7,29164
7,29163
7,29066
7,29065
6,29054
7,29053
7,28944
6,28939
7,28938
7,28937
7,43294
6,43289
7,43288
7,43202
7,43083
7,43082
7,43079
7,42860
7,42857
7,42856
7,57212
7,57211
7,57115
7,56984
7,56983
7,56982
7,56881
7,56756
6,56751
