Level,Cluster Id
7,3877
6,3870
7,3869
7,3766
7,3763
7,3762
7,3761
7,3657
7,3656
7,3532
7,3531
7,17788
7,17787
7,17785
7,17784
7,17667
7,17666
7,17664
6,17554
7,17553
7,17459
7,17458
7,17326
7,17325
7,17323
7,31693
6,31688
7,31686
7,31685
7,31591
7,31590
7,31588
7,31587
7,31461
7,31459
7,31458
7,31360
7,31358
7,31357
7,31241
7,31240
7,31239
7,45591
7,45590
7,45589
7,45587
7,45466
6,45461
7,45459
6,45372
7,45370
7,45252
6,45247
7,45147
7,45146
7,45145
7,45143
7,59502
7,59501
7,59498
7,59497
7,59496
7,59385
7,59384
7,59382
7,59283
7,59281
7,59280
6,59167
7,59066
7,59065
7,59063
