Level,Cluster Id
7,11547
7,11545
6,11445
7,11444
7,11335
6,11330
6,11324
7,11323
7,11236
7,25461
7,25460
7,25345
7,25344
7,25132
7,25131
7,39482
7,39481
7,39366
7,39365
7,39362
7,39361
7,39360
6,39257
6,39253
7,39251
7,39250
7,39249
7,39156
7,39155
6,39150
6,39146
7,39145
7,39144
7,39040
6,39035
6,39031
7,39029
7,53386
6,53381
7,53379
7,53378
7,53377
7,53276
7,53275
6,53270
7,53162
6,53060
7,53059
7,52955
7,52954
6,52949
6,52945
6,67291
7,67290
6,67180
6,67069
6,67065
7,66967
6,66962
7,66853
7,66852
6,66847
7,66846
